No,Filename,Width,Height,AspectRatio,SizeKB,Category,ImageArea_SxS,TextArea_SxS
1,apedemod_fold.jpg,1080,1619,0.67,182.1,Portrait,400x600,740x600
2,arket_gohar.jpg,1080,720,1.50,208.0,Standard landscape,812x541,328x600
3,boss_fragrance.jpg,1080,1440,0.75,132.2,Portrait,450x600,690x600
4,bv_arts.jpg,1080,1350,0.80,150.4,Portrait,480x600,660x600
5,celine_summer.jpg,1080,1350,0.80,266.2,Portrait,480x600,660x600
6,chanel_coco.jpg,1080,608,1.78,98.1,Wide landscape,812x457,328x600
7,chloe_tomato.jpg,1080,1440,0.75,110.4,Portrait,450x600,690x600
8,cover_hermes.jpg,1080,997,1.08,70.5,Near square,650x600,490x600
9,crocs_molly.jpg,1080,608,1.78,97.7,Wide landscape,812x457,328x600
10,dior_fashion.jpg,1080,1080,1.00,29.8,Near square,600x600,540x600
11,dior_watch1.jpg,1080,1080,1.00,37.1,Near square,600x600,540x600
12,fresh_event.jpg,1080,721,1.50,83.5,Standard landscape,812x542,328x600
13,gucci_memoria1.jpg,1080,810,1.33,91.4,Standard landscape,800x600,340x600
14,gucci_memoria2.jpg,1080,810,1.33,95.0,Standard landscape,800x600,340x600
15,hermes_home.jpg,1080,772,1.40,37.3,Standard landscape,839x600,301x600
16,jorya_popup.jpg,1080,810,1.33,121.4,Standard landscape,800x600,340x600
17,lv_design.jpg,1080,1080,1.00,29.8,Near square,600x600,540x600
18,lv_objets.jpg,1080,608,1.78,77.1,Wide landscape,812x457,328x600
19,maxmara_show.jpg,1080,634,1.70,71.8,Wide landscape,812x477,328x600
20,mcqueen_exhibition.jpg,1080,721,1.50,54.8,Standard landscape,812x542,328x600
21,stevemadden_lexie.jpg,1080,721,1.50,126.5,Standard landscape,812x542,328x600
22,tadfab_bag.jpg,1080,1440,0.75,107.2,Portrait,450x600,690x600
23,vhernier_jewelry.jpg,1080,720,1.50,81.5,Standard landscape,812x541,328x600
