No,Filename,Width,Height,AspectRatio,SizeKB,Category,ImageArea_SxS,TextArea_SxS
1,babaoshan.png,1080,712,1.52,1166.3,Wide landscape,812x535,328x600
2,first_paper.png,1080,810,1.33,822.9,Standard landscape,800x600,340x600
3,jihai_station_new.png,1080,608,1.78,1484.1,Wide landscape,812x457,328x600
4,jihai_station_old.png,670,346,1.94,301.3,Wide landscape,812x419,328x600
5,kunming_site.png,1080,783,1.38,1457.2,Standard landscape,828x600,312x600
6,liang_lin_together.png,1000,710,1.41,467.5,Standard landscape,845x600,295x600
7,lin_later.png,640,640,1.00,130.7,Near square,600x600,540x600
8,lin_portrait.png,640,703,0.91,797.9,Near square,546x600,594x600
9,lin_survey.png,1080,1145,0.94,971.6,Near square,566x600,574x600
10,lin_tomb.png,1080,796,1.36,1109.4,Standard landscape,814x600,326x600
11,monument.png,960,1280,0.75,1393.6,Portrait,450x600,690x600
12,pku_geology.png,745,414,1.80,275.5,Wide landscape,812x451,328x600
13,yingqiu_yuan.png,792,606,1.31,771.3,Standard landscape,784x600,356x600
